symbol,signal_episodes,executed_trades,skipped_same_symbol_overlap,right_censored_trades,winning_trades,win_rate,final_equity,total_return,classification
AXS,4,4,0,0,2,0.5,1.012358027821675,0.012358027821675055,positive
LSK,1,1,0,0,0,0.0,0.9476421784472769,-0.05235782155272306,negative
HYPER,2,1,1,0,0,0.0,0.9482667387777177,-0.05173326122228228,negative
MYX,0,0,0,0,0,,1.0,0.0,no_trade
TA,3,3,0,0,2,0.6666666666666666,1.1108028475888156,0.11080284758881564,positive
RESOLV,3,3,0,0,0,0.0,0.8990276797921419,-0.10097232020785807,negative
ALCH,0,0,0,0,0,,1.0,0.0,no_trade
SIGN,2,2,0,0,0,0.0,0.928137536034069,-0.07186246396593099,negative
PHA,7,5,2,0,3,0.6,1.1329359787400977,0.13293597874009766,positive
SAHARA,0,0,0,0,0,,1.0,0.0,no_trade
AIOT,2,2,0,0,0,0.0,0.9260724819278507,-0.07392751807214926,negative
PIEVERSE,1,1,0,0,0,0.0,0.9587896575627339,-0.04121034243726607,negative
PROMPT,1,1,0,0,1,1.0,1.012094402420575,0.012094402420574912,positive
SKYAI,2,2,0,0,0,0.0,0.9410182474586567,-0.0589817525413433,negative
NAORIS,3,3,0,0,2,0.6666666666666666,1.232611510660698,0.23261151066069807,positive
DUSK,2,2,0,0,1,0.5,1.1822334479541108,0.18223344795411078,positive
AUCTION,2,1,1,0,1,1.0,1.0206610065645514,0.020661006564551387,positive
