scenario,case_id,symbol,signal_date,entry_time_utc,entry_equity,margin,margin_fraction_of_equity,notional,xsec_score,xsec_rank_pct,entry_fee,exit_pnl_after_exit_fee,exit_events,exit_time_utc,total_net_pnl,return_on_allocated_margin
classifier_k5_invvol_tophalf,319-EDU-2026-05-17,EDU,2026-05-17,2026-05-18T00:00:00+00:00,1.059046958336254,0.15671331005535427,0.1479757897624751,0.31342662011070854,-0.01014445081725695,0.0,0.0006268532402214171,0.015715044821826982,1,2026-06-01T00:00:00+00:00,0.015088191581605565,0.09627894131185229
classifier_k5_invvol_tophalf,323-BNT-2026-05-18,BNT,2026-05-18,2026-05-19T00:00:00+00:00,1.1590058382476744,0.2621816787435933,0.22621256087889202,0.5243633574871867,-0.2246104223445246,0.0,0.0010487267149743734,-0.01914246655687502,1,2026-06-02T00:00:00+00:00,-0.020191193271849393,-0.07701222056631898
classifier_k5_invvol_tophalf,328-POPCAT-2026-05-20,POPCAT,2026-05-20,2026-05-21T00:00:00+00:00,1.1355705158608733,0.24526011587005114,0.2159796441034928,0.4905202317401023,0.00014825833131449314,1.0,0.0009810404634802046,-0.04288745391957359,1,2026-05-23T07:50:00+00:00,-0.04386849438305379,-0.1788651784144843
classifier_k5_invvol_tophalf,331-AWE-2026-05-23,AWE,2026-05-23,2026-05-24T00:00:00+00:00,1.103662155024787,0.21654259111757335,0.19620369343253422,0.4330851822351467,0.12675740348129919,1.0,0.0008661703644702934,0.029514569333836435,1,2026-06-07T00:00:00+00:00,0.02864839896936614,0.13229914180629385
classifier_k5_invvol_tophalf,346-EUL-2026-05-28,EUL,2026-05-28,2026-05-29T00:00:00+00:00,1.0242041981239975,0.17024613513881143,0.16622284447832364,0.34049227027762285,-0.019923714495392316,0.5,0.0006809845405552457,-0.015240190394536925,1,2026-06-03T01:15:00+00:00,-0.01592117493509217,-0.09351856899488922
classifier_k5_invvol_tophalf,345-FLOCK-2026-05-28,FLOCK,2026-05-28,2026-05-29T00:00:00+00:00,1.0242041981239975,0.11610006325626543,0.11335636337843787,0.23220012651253086,0.11311904222850547,1.0,0.00046440025302506174,-0.02056083297872291,1,2026-06-02T14:30:00+00:00,-0.021025233231747972,-0.18109579480020938
classifier_k5_invvol_tophalf,351-NEIRO-2026-06-01,NEIRO,2026-06-01,2026-06-02T00:00:00+00:00,1.080833053785237,0.22130930641615085,0.20475808510953006,0.4426186128323017,0.00011978539362387567,1.0,0.0008852372256646034,-0.03674917603959348,1,2026-06-02T15:35:00+00:00,-0.037634413265258085,-0.17005345990507148
classifier_k5_invvol_tophalf,352-AIXBT-2026-06-02,AIXBT,2026-06-02,2026-06-03T00:00:00+00:00,1.0062726777987565,0.13165646558478894,0.1308357749241392,0.2633129311695779,0.06677617191529467,1.0,0.0005266258623391558,-0.02976992154119534,1,2026-06-04T02:05:00+00:00,-0.030296547403534494,-0.23011818879508822
classifier_k5_invvol_tophalf,354-SKL-2026-06-03,SKL,2026-06-03,2026-06-04T00:00:00+00:00,0.9776072722841397,0.20741499790787218,0.21216597276660543,0.41482999581574437,0.05311810189874352,1.0,0.0008296599916314888,-0.03467379390881181,1,2026-06-04T02:05:00+00:00,-0.0355034539004433,-0.17117110266159694
classifier_k5_invvol_tophalf,355-1000BONK-2026-06-03,1000BONK,2026-06-03,2026-06-04T00:00:00+00:00,0.9776072722841397,0.18691518168608254,0.19119659497761593,0.3738303633721651,-0.005336510583838433,0.5,0.0007476607267443301,-0.034374729815690286,1,2026-06-04T02:05:00+00:00,-0.035122390542434614,-0.1879054993051417
