case_id,symbol,signal_date,entry_date,executed_independent,executed_shared,right_censored_mark,target_return_2x,profitable,f7c_share,flow_to_signal_volume,flow_to_median20_volume,flow_to_prior7_volume,rank_pct,signal_volume_ratio20,return_3d,return_7d,return_14d,return_30d,recent_7d_runup,distance_20d_high,recent_5x_volume,prior7_max_volume_ratio,signal_day_return,signal_range_pct,market_median_return_7d,market_positive_breadth_7d,market_median_return_30d,market_positive_breadth_30d,available_history_days_from_2025
147-STO-2026-03-10,STO,2026-03-10,2026-03-11,True,True,False,0.14345601173020536,1,0.0035919582549398124,0.042503423852240464,0.02933251018075674,0.0056189663529258565,0.03550295857988166,0.6901211131302907,0.06657396141143757,0.015894039735099286,0.10260557053009878,0.09669347631814107,0.08443708609271527,-0.08988430732720254,0,1.2183006214099736,-0.03171847877544576,0.06605019815059454,-0.01540284360189581,0.378698224852071,-0.055629728526924715,0.33136094674556216,331
148-SXT-2026-03-11,SXT,2026-03-11,2026-03-12,True,False,False,-0.17066035751840156,0,0.0018758743505661295,0.01095212238094083,0.047618420871615635,0.0014998027762024657,0.0650887573964497,4.347871509770787,0.12544378698224845,0.02922077922077926,-0.1527839643652562,-0.19679054054054057,0.3392857142857144,-0.24523809523809526,1,33.523846649908755,-0.04613841524573725,0.06434599156118148,-0.021162444113263845,0.35502958579881655,-0.05470332850940651,0.3609467455621302,312
149-AWE-2026-03-11,AWE,2026-03-11,2026-03-12,True,False,False,-0.02318611002731185,0,0.0015879405938570815,0.029618426028784138,0.02261753050306464,0.005467400884333711,0.07100591715976332,0.7636303995723539,0.04698672114402447,-0.0036936236391913457,-0.02972358954941312,-0.3679861881859662,0.034020217729393565,-0.20046801872074893,0,1.3294085151413073,0.017672756155679092,0.04380724810832337,-0.021162444113263845,0.35502958579881655,-0.05470332850940651,0.3609467455621302,293
150-SOLV-2026-03-12,SOLV,2026-03-12,2026-03-13,True,True,False,-0.07301587701612917,0,0.003708263262672055,0.010926717228105485,0.05050708607539843,0.002050539112880459,0.01775147928994083,4.6223476842143505,0.06493158035953872,-0.002262443438913908,-0.05274463007159902,-0.13717391304347815,0.32227249874308694,-0.24543726235741437,1,15.590751087286678,-0.09897843359818381,0.15967660434562925,-0.002855103497501621,0.46745562130177515,-0.024822695035460973,0.42011834319526625,418
151-TOWNS-2026-03-12,TOWNS,2026-03-12,2026-03-13,True,False,False,0.282025175961018,1,0.0013727832409926955,0.0015539334210801193,0.005727444707970325,0.00030630345585539045,0.05917159763313609,3.6857722668640784,0.10334528076463556,0.00027078256160284475,0.09257616089914222,-0.12609415661225454,0.31410777145951796,-0.23882134762002882,1,9.914978065302183,-0.0776529338327091,0.10413223140495886,-0.002855103497501621,0.46745562130177515,-0.024822695035460973,0.42011834319526625,219
152-JOE-2026-03-12,JOE,2026-03-12,2026-03-13,True,False,False,-0.17103721604639924,0,0.0013387470527254797,0.022889286164634738,0.026157022839600988,0.002498622504823697,0.0650887573964497,1.142762716646668,0.10529128808124,0.06543019062339006,0.11063372717508058,0.1319102353585111,0.1911385883565173,-0.10553633217993086,1,5.991993940002386,0.016965822473567815,0.0494505494505495,-0.002855103497501621,0.46745562130177515,-0.024822695035460973,0.42011834319526625,434
153-SKL-2026-03-13,SKL,2026-03-13,2026-03-14,True,False,False,-0.135436923076923,0,0.002726119542343321,0.041906579514538404,0.03100378122211722,0.003832837760398069,0.023668639053254437,0.7398308709819961,-0.016641452344932084,0.014040561622464809,-0.05247813411078717,0.03174603174603163,0.14196567862714504,-0.11202185792349728,0,3.1761683564772483,-0.02108433734939763,0.05084745762711851,0.02358490566037741,0.6568047337278107,-0.024390243902439046,0.4260355029585799,434
154-TNSR-2026-03-13,TNSR,2026-03-13,2026-03-14,False,False,False,,0,0.0014091024372086258,0.007776050345657433,0.005819615252680136,0.0005263493036014926,0.04142011834319527,0.748402465774945,-0.06646464646464645,-0.01028057399871496,-0.010492505353319026,-0.12265046516043288,0.13129149710858856,-0.12514199166982198,0,2.429267143832278,-0.006663800515907092,0.04095341278439868,0.02358490566037741,0.6568047337278107,-0.024390243902439046,0.4260355029585799,435
155-USELESS-2026-03-14,USELESS,2026-03-14,2026-03-15,True,False,False,0.13246436464088365,1,0.003966089364052655,0.019106944202782045,0.011167749285362374,0.0024723308334739045,0.011834319526627219,0.5844864132557789,-0.06387380398241527,-0.05827263267429761,-0.16666666666666663,0.09036144578313254,0.11056191467221632,-0.2622783778275932,0,0.8888977519953003,0.012304250559284302,0.051244933410538485,0.050728277247614306,0.7928994082840237,-0.042675420599097236,0.3668639053254438,211
156-SHELL-2026-03-14,SHELL,2026-03-14,2026-03-15,True,False,False,0.1974513593187029,1,0.0020603343289277818,0.017642625294054047,0.01493043918832865,0.001734819942454579,0.03550295857988166,0.8462708321170624,0.03527815468113982,0.13120830244625648,0.04341880341880322,-0.023360000000000047,0.2090437361008155,-0.1491497072762754,0,2.187808340334041,-0.015801354401805856,0.07037533512064353,0.050728277247614306,0.7928994082840237,-0.042675420599097236,0.3668639053254438,389
