feature,label,quartile,lower_bound,upper_bound,trades,win_rate,mean_return_2x,median_return_2x
return_7d,信号前7日涨幅,1,,-0.09896079730028062,109,0.3119266055045872,-0.04410765718641151,-0.1372760255241568
return_7d,信号前7日涨幅,2,-0.09896079730028062,-0.027969193352249677,109,0.3302752293577982,-0.025025762466027942,-0.15229179464677506
return_7d,信号前7日涨幅,3,-0.027969193352249677,0.06754909501102402,108,0.2962962962962963,0.008016952690070049,-0.12840757718472007
return_7d,信号前7日涨幅,4,0.06754909501102402,,109,0.23853211009174313,-0.021909900185462974,-0.1678404133180252
return_14d,信号前14日涨幅,1,,-0.15403267432306772,109,0.29357798165137616,-0.026051055840110894,-0.15265653055314213
return_14d,信号前14日涨幅,2,-0.15403267432306772,-0.050369276218611425,109,0.3669724770642202,-0.006644463129578583,-0.07579019292604498
return_14d,信号前14日涨幅,3,-0.050369276218611425,0.09230165127230217,108,0.25925925925925924,-0.04652043150203324,-0.16737411321520418
return_14d,信号前14日涨幅,4,0.09230165127230217,,109,0.25688073394495414,-0.004310759650349146,-0.16700489541611013
return_30d,信号前30日涨幅,1,,-0.2520546413823457,109,0.27522935779816515,-0.03387511366113813,-0.1579443084455325
return_30d,信号前30日涨幅,2,-0.2520546413823457,-0.11283664242185953,109,0.3669724770642202,0.021491144208653164,-0.057345917700849375
return_30d,信号前30日涨幅,3,-0.11283664242185953,0.08606178152211252,108,0.32407407407407407,-0.020869118695534948,-0.1600175752883016
return_30d,信号前30日涨幅,4,0.08606178152211252,,109,0.21100917431192662,-0.050038288829038206,-0.1677962154294032
recent_7d_runup,近7日最高涨幅,1,,0.05985179876386859,109,0.30275229357798167,-0.02680782844777258,-0.12650092764378493
recent_7d_runup,近7日最高涨幅,2,0.05985179876386859,0.11991996998874588,109,0.3302752293577982,-0.024887248931271613,-0.12137823129251711
recent_7d_runup,近7日最高涨幅,3,0.11991996998874588,0.26676013875371773,108,0.28703703703703703,-0.011201141639022074,-0.16671757673592313
recent_7d_runup,近7日最高涨幅,4,0.26676013875371773,,109,0.25688073394495414,-0.020306460921776136,-0.16609900990099
distance_20d_high,距20日最高价,1,,-0.3231839783938683,109,0.29357798165137616,-0.02799171835091574,-0.1372760255241568
distance_20d_high,距20日最高价,2,-0.3231839783938683,-0.22614107883817425,109,0.30275229357798167,-0.043929801105847,-0.1676593987872532
distance_20d_high,距20日最高价,3,-0.22614107883817425,-0.14330880976277516,108,0.35185185185185186,0.02548579408578149,-0.12161142525888019
distance_20d_high,距20日最高价,4,-0.14330880976277516,,109,0.22935779816513763,-0.036430377176890474,-0.16609900990099
recent_5x_volume,此前7日是否出现5倍量,1,,0.0,302,0.2980132450331126,-0.019113330431736325,-0.12839322353163965
recent_5x_volume,此前7日是否出现5倍量,2,0.0,0.0,0,nan,nan,nan
recent_5x_volume,此前7日是否出现5倍量,3,0.0,1.0,133,0.2857142857142857,-0.02470424948435662,-0.16700489541611013
recent_5x_volume,此前7日是否出现5倍量,4,1.0,,0,nan,nan,nan
prior7_max_volume_ratio,此前7日最大量/更早20日中位量,1,,1.3847030544946424,109,0.29357798165137616,-0.010366187300081325,-0.15283289272297187
prior7_max_volume_ratio,此前7日最大量/更早20日中位量,2,1.3847030544946424,2.5184453050954714,109,0.3119266055045872,-0.0032044372024448973,-0.08891891891891876
prior7_max_volume_ratio,此前7日最大量/更早20日中位量,3,2.5184453050954714,6.600408865407802,108,0.2777777777777778,-0.04435059739956357,-0.1371562739465766
prior7_max_volume_ratio,此前7日最大量/更早20日中位量,4,6.600408865407802,,109,0.29357798165137616,-0.02558558148509703,-0.16790442726633883
signal_day_return,信号日开收涨幅,1,,-0.0426241526724479,109,0.22018348623853212,-0.08278919829449569,-0.16947819819819832
signal_day_return,信号日开收涨幅,2,-0.0426241526724479,-0.004463358937097817,109,0.3394495412844037,-0.02332615066583899,-0.09351856899488921
signal_day_return,信号日开收涨幅,3,-0.004463358937097817,0.029124674210058044,108,0.3611111111111111,0.02380711956318275,-0.09751076017375027
signal_day_return,信号日开收涨幅,4,0.029124674210058044,,109,0.25688073394495414,-0.0005732738344133635,-0.14390228690228693
signal_range_pct,信号日振幅,1,,0.05992769936534359,109,0.3394495412844037,-0.026484232516463868,-0.12134218289085556
signal_range_pct,信号日振幅,2,0.05992769936534359,0.08934911242603549,109,0.3394495412844037,-0.007638199500513663,-0.08009029345372443
signal_range_pct,信号日振幅,3,0.08934911242603549,0.14056287146395274,108,0.26851851851851855,-0.030106319472665302,-0.1675834757017066
signal_range_pct,信号日振幅,4,0.14056287146395274,,109,0.22935779816513763,-0.019147370448673363,-0.1684402125775022
market_median_return_7d,币池近7日收益中位数,1,,-0.06786542923433869,111,0.34234234234234234,-0.018687634873225546,-0.12650092764378493
market_median_return_7d,币池近7日收益中位数,2,-0.06786542923433869,-0.013292433537832271,109,0.25688073394495414,-0.033908909236975725,-0.16839879959986648
market_median_return_7d,币池近7日收益中位数,3,-0.013292433537832271,0.03205465055176049,111,0.2702702702702703,-0.02338447343907088,-0.12134218289085556
market_median_return_7d,币池近7日收益中位数,4,0.03205465055176049,,104,0.3076923076923077,-0.006652075406812912,-0.15138483573931322
market_positive_breadth_7d,币池近7日上涨占比,1,,0.1834319526627219,110,0.38181818181818183,0.00946906779093261,-0.0821860947672557
market_positive_breadth_7d,币池近7日上涨占比,2,0.1834319526627219,0.40236686390532544,117,0.23076923076923078,-0.0520917511611082,-0.16839879959986648
market_positive_breadth_7d,币池近7日上涨占比,3,0.40236686390532544,0.6775147928994083,99,0.24242424242424243,-0.03505880899011119,-0.13736780812422034
market_positive_breadth_7d,币池近7日上涨占比,4,0.6775147928994083,,109,0.3211009174311927,-0.0048984536966579775,-0.12137823129251711
market_median_return_30d,币池近30日收益中位数,1,,-0.22073085041230128,109,0.28440366972477066,-0.029394803341386985,-0.12899768625636254
market_median_return_30d,币池近30日收益中位数,2,-0.22073085041230128,-0.08039289316513615,112,0.29464285714285715,-0.03303004590590861,-0.1447069300613193
market_median_return_30d,币池近30日收益中位数,3,-0.08039289316513615,-0.02115338630761865,105,0.3238095238095238,0.021221356963896907,-0.12959177215189874
market_median_return_30d,币池近30日收益中位数,4,-0.02115338630761865,,109,0.27522935779816515,-0.04020857566367,-0.1682231292517007
market_positive_breadth_30d,币池近30日上涨占比,1,,0.1437125748502994,111,0.27927927927927926,-0.033007655705270755,-0.1388756248162302
market_positive_breadth_30d,币池近30日上涨占比,2,0.1437125748502994,0.26627218934911245,109,0.3944954128440367,0.03585008280050384,-0.052126918671248634
market_positive_breadth_30d,币池近30日上涨占比,3,0.26627218934911245,0.4319526627218935,108,0.24074074074074073,-0.04152911650432075,-0.16697132156441596
market_positive_breadth_30d,币池近30日上涨占比,4,0.4319526627218935,,107,0.2616822429906542,-0.04501453861034602,-0.16828105395232096
