case_id,symbol,signal_date,entry_date,exit_time_utc,target_return_2x,profitable,log_f7c_share,rank_pct,log_cluster_amount,signal_open_close_return,return_1d,return_3d,return_7d,range_pct,close_location,volume_ratio_20d,distance_20d_high,volatility_7d,flow_change_cluster_share,positive_flow_days_7d,negative_flow_days_7d,flow_event_count_7d,listing_age_days
021-SXT-2026-01-31,SXT,2026-01-31,2026-02-01,2026-02-03T17:00:00+00:00,-0.19734759963919157,0,-3.6669737407939826,0.005917159763313609,21.83064931920418,-0.10319573901464718,-0.10259826782145243,-0.09869521579123453,-0.10794701986754973,0.21500605082694646,0.4033771106941836,1.5988811963812373,-0.3750869867780098,0.06183206909287134,0.025618030668744005,1,3,7.0,30
022-ZORA-2026-02-01,ZORA,2026-02-01,2026-02-02,2026-02-03T05:35:00+00:00,-0.087185597772647,0,-5.804964375651773,0.07100591715976332,22.952684425891007,0.16433408577878117,0.16433408577878117,-0.04410674573758344,-0.14828269484808454,0.9073236889692584,0.18285999003487793,78.40955136880503,-0.3887177056174449,0.09308195600165016,0.0023813627794936755,5,1,47.0,31
023-TOSHI-2026-02-02,TOSHI,2026-02-02,2026-02-03,2026-02-03T18:55:00+00:00,-0.17013582867393473,0,-6.347673430012842,0.09467455621301775,26.277051311887945,0.029727095516569157,0.028724440116845162,-0.1343711593609176,-0.26835180055401664,0.1109969167523126,0.773148148148149,1.6719783222171327,-0.4209372430802959,0.04514813417221613,0.0013725562270114685,2,3,44.0,32
024-USELESS-2026-02-06,USELESS,2026-02-06,2026-02-07,2026-02-07T07:15:00+00:00,-0.1765218854876558,0,-6.35598433373875,0.04142011834319527,20.14472734799441,0.12186607426213891,0.12151015228426387,-0.18076477404403246,-0.41570247933884297,0.39752457226064797,0.7216117216117215,2.187291030467892,-0.6232949701619779,0.12012695298886902,0.0008916966418830033,2,2,5.0,36
025-MELANIA-2026-02-06,MELANIA,2026-02-06,2026-02-07,2026-02-10T10:35:00+00:00,-0.17462828023271815,0,-6.844499332234532,0.05917159763313609,19.130550639799672,0.15563506261180682,0.15666965085049256,-0.006917755572636297,-0.035820895522388096,0.25862068965517215,0.9185185185185192,1.0543689891158534,-0.32917964693665624,0.08092377119562709,0.0017427944565706294,1,5,9.0,36
026-KMNO-2026-02-06,KMNO,2026-02-06,2026-02-07,2026-02-11T04:45:00+00:00,-0.16691129116326797,0,-5.319835751964401,0.023668639053254437,22.82767521316869,0.14364235983876883,0.14322344322344316,-0.10419058553386917,-0.18998183233843757,0.2614770459081839,0.9404580152671754,1.8483940992208974,-0.4427780753436886,0.1036164265039937,0.005816576952860028,1,6,35.0,36
027-TNSR-2026-02-11,TNSR,2026-02-11,2026-02-12,2026-02-13T04:35:00+00:00,-0.0025010722670073537,0,-6.364876212656738,0.03550295857988166,19.625290320330183,0.23812881993417956,0.23812881993417956,0.20498741706703272,0.06944162436548229,0.629584649016274,0.443672839506173,9.01851592293523,-0.2149351617230585,0.11135722692737869,0.0017988541751599479,1,2,4.0,41
030-MAGIC-2026-02-11,MAGIC,2026-02-11,2026-02-12,2026-02-19T01:35:00+00:00,0.020504406035091738,1,-6.3626369972348895,0.029585798816568046,18.766234658139858,0.008810572687224738,0.010294117647058787,0.007331378299120228,0.0,0.11111111111111094,0.6760563380281693,1.7349885415898385,-0.2722457627118644,0.09378990400573674,0.0024798004764504354,5,1,36.0,41
028-POPCAT-2026-02-12,POPCAT,2026-02-12,2026-02-13,2026-02-15T13:00:00+00:00,0.15682304455836515,1,-6.284772424762737,0.023668639053254437,20.268186849397544,0.04533110507624816,0.045549519431675733,-0.021318208488167456,0.09019607843137245,0.057370184254606604,0.8321167883211675,0.7145488262448182,-0.37838509316770186,0.05670195304801812,0.001446113224833095,4,2,25.0,42
031-RECALL-2026-02-13,RECALL,2026-02-13,2026-02-14,2026-02-15T13:40:00+00:00,0.036670938565672995,1,-6.139236406224014,0.023668639053254437,20.708590384900397,0.04070660522273428,0.04090647205684661,0.2575406032482599,0.02457466918714557,0.20775510204081638,0.5108055009823178,19.571458216054243,-0.40894220283533267,0.10635690275982468,0.0015538024328951594,6,1,88.0,43
