case_id,symbol,signal_date,entry_date,decision_time_utc,decision_close_time_ms,execution_time_utc,execution_open_time_ms,execution_price,sold_fraction,cumulative_sold_fraction,reason,score,drawdown,volume_ratio,upper_wick_share,taker_buy_share,failure15,weak1h,regime4h,weak4h_confirmed,mfe_at_decision,active_stop
34-ZBT-2026-04-07,ZBT,2026-04-07,2026-04-08,2026-04-12T13:54:59+00:00,1776002099999,2026-04-12T13:55:00+00:00,1776002100000,0.10284,1.0,1.0,5m收盘距持仓最高价回撤15%,0.6743583195490007,0.15321916680388603,1.4534121853940312,0.0,0.1421606849512101,True,True,weak,True,0.16352141009675258,0.0960388
35-LIGHT-2026-04-14,LIGHT,2026-04-14,2026-04-15,2026-04-16T16:09:59+00:00,1776355799999,2026-04-16T16:10:00+00:00,1776355800000,0.1955,1.0,1.0,5m收盘距持仓最高价回撤15%,0.6953054264972511,0.15337954939341425,1.568084673315693,0.04000000000000666,0.3479473866389754,True,True,weak,False,0.34264107038976155,0.1725876
36-RAVE-2026-04-21,RAVE,2026-04-21,2026-04-22,2026-04-22T03:59:59+00:00,1776830399999,2026-04-22T04:00:00+00:00,1776830400000,1.38806,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7288040564859641,0.15022255419975383,3.4729201649421535,0.10851865354234883,0.4185614373779783,True,True,weak,True,0.009088100827876033,1.2977660714285715
37-SOON-2026-04-21,SOON,2026-04-21,2026-04-22,2026-04-25T11:44:59+00:00,1777117499999,2026-04-25T11:45:00+00:00,1777117500000,0.2061,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7356424411223652,0.16518218623481784,6.450741392585041,0.026666666666667407,0.41969850541886256,True,True,strong,False,0.4951573849878934,0.1658608
38-JCT-2026-04-23,JCT,2026-04-23,2026-04-24,2026-04-29T00:49:59+00:00,1777423799999,2026-04-29T00:50:00+00:00,1777423800000,0.00365,0.25,0.25,多周期退出评分,0.7102742986748231,0.08274647887323949,0.3601965342578148,0.3863636363636404,0.41376588873552744,True,True,strong,False,0.5948656237464904,0.002502972
38-JCT-2026-04-23,JCT,2026-04-23,2026-04-24,2026-04-29T04:49:59+00:00,1777438199999,2026-04-29T04:50:00+00:00,1777438200000,0.003735,0.25,0.5,多周期退出评分,0.6538438952650709,0.06086519114688138,10.00602003962297,0.6799999999999979,0.46812751726335977,False,True,weak,False,0.5948656237464904,0.002502972
38-JCT-2026-04-23,JCT,2026-04-23,2026-04-24,2026-04-29T07:04:59+00:00,1777446299999,2026-04-29T07:05:00+00:00,1777446300000,0.003676,0.25,0.75,多周期退出评分,0.7748490945674047,0.07494969818913488,0.3108877155265435,0.5666666666666681,0.34103073906968695,True,True,weak,False,0.5948656237464904,0.002502972
38-JCT-2026-04-23,JCT,2026-04-23,2026-04-24,2026-04-29T07:59:59+00:00,1777449599999,2026-04-29T08:00:00+00:00,1777449600000,0.003554,0.25,1.0,多周期退出评分,0.8143465852453252,0.10563380281690149,0.5957641109263665,0.6923076923077013,0.4034801221320121,True,True,weak,True,0.5948656237464904,0.002502972
39-BLUAI-2026-04-25,BLUAI,2026-04-25,2026-04-26,2026-04-26T03:29:59+00:00,1777174199999,2026-04-26T03:30:00+00:00,1777174200000,0.010225,1.0,1.0,保护止损,0.64892688543923,0.11450844521437853,89.09832993225892,0.0,0.4266096718411549,True,False,weak,False,0.028049866429207482,0.0103316
40-EVAA-2026-04-25,EVAA,2026-04-25,2026-04-26,2026-05-03T20:04:59+00:00,1777838699999,2026-05-03T20:05:00+00:00,1777838700000,0.5382,1.0,1.0,5m收盘距持仓最高价回撤15%,0.8438709677419336,0.16558038485412785,18.09564527587778,0.10967741935483409,0.31319585973580394,True,True,weak,True,0.17462632154575286,0.5047119999999999
41-ZBT-2026-05-06,ZBT,2026-05-06,2026-05-07,2026-05-10T21:59:59+00:00,1778450399999,2026-05-10T22:00:00+00:00,1778450400000,0.1675,1.0,1.0,保护止损,0.7709673077430556,0.14369726412682182,2.4759980914700503,0.15476190476189466,0.3320356548354186,True,True,weak,True,0.07050966223244104,0.1680564
42-RAVE-2026-05-13,RAVE,2026-05-13,2026-05-14,2026-05-15T14:04:59+00:00,1778853899999,2026-05-15T14:05:00+00:00,1778853900000,0.6057,1.0,1.0,保护止损,0.7831596667570804,0.10780559646539034,17.68483053760763,0.005050505050504512,0.3782908028946821,True,True,weak,True,0.02988017594418335,0.606556
43-BLUAI-2026-05-17,BLUAI,2026-05-17,2026-05-18,2026-05-19T04:19:59+00:00,1779164399999,2026-05-19T04:20:00+00:00,1779164400000,0.014482,1.0,1.0,保护止损,0.6029778931728217,0.1382738095238094,24.271894786415725,0.09571788413098202,0.47796389071935663,False,True,weak,True,0.0629547611515342,0.014540599999999999
44-B2-2026-05-15,B2,2026-05-15,2026-05-16,2026-05-24T07:39:59+00:00,1779608399999,2026-05-24T07:40:00+00:00,1779608400000,0.6215,1.0,1.0,5m收盘距持仓最高价回撤15%,0.7284360189573451,0.15523809523809518,36.86347992351816,0.07109004739336271,0.5050120733433665,True,True,weak,False,0.16463318016162254,0.580612
45-BLUAI-2026-05-20,BLUAI,2026-05-20,2026-05-21,2026-05-23T21:04:59+00:00,1779570299999,2026-05-23T21:05:00+00:00,1779570300000,0.011235,1.0,1.0,5m收盘距持仓最高价回撤15%,0.4842427796747056,0.15271493212669673,6.570946744122149,0.04887218045112778,0.4369254269138893,False,False,strong,False,0.4774373259052924,0.0090109
46-GWEI-2026-05-22,GWEI,2026-05-22,2026-05-23,2026-05-26T17:54:59+00:00,1779818099999,2026-05-26T17:55:00+00:00,1779818100000,0.10737,1.0,1.0,保护止损,0.8690647482014359,0.12369451697127942,10.540092073323846,0.1726618705035898,0.2798540816540462,True,True,weak,True,0.04985437724858666,0.10740079999999999
47-B2-2026-05-27,B2,2026-05-27,2026-05-28,2026-05-28T09:54:59+00:00,1779962099999,2026-05-28T09:55:00+00:00,1779962100000,0.4559,1.0,1.0,保护止损,0.8351351351351356,0.10179169127781063,16.748786999419618,0.0878378378378392,0.25020860650852306,True,True,weak,True,0.00853852263701338,0.46331200000000006
48-ZBT-2026-06-04,ZBT,2026-06-04,2026-06-05,2026-06-05T07:19:59+00:00,1780643999999,2026-06-05T07:20:00+00:00,1780644000000,0.11541,1.0,1.0,保护止损,0.794379702812821,0.10446255335661614,5.457488206643123,0.14794520547945172,0.38802095039452433,True,True,weak,True,0.0064047488869796165,0.1177876
49-VELVET-2026-06-06,VELVET,2026-06-06,2026-06-07,2026-06-07T17:39:59+00:00,1780853999999,2026-06-07T17:40:00+00:00,1780854000000,0.23496,1.0,1.0,5m收盘距持仓最高价回撤15%,0.5322548139966076,0.15363832853025938,1.1207333270895947,0.0972871842843791,0.44612810407862874,True,False,strong,False,0.5011085275509652,0.18566972
