case_id,model_version,symbol,group,signal_date,entry_date,entry_price,initial_atr15m,initial_stop,exit_time_utc,weighted_exit_price,exit_events,last_exit_reason,gross_return_1x,net_return_1x,net_return_2x,mae_1x,mfe_until_exit_1x,theoretical_14d_mfe_1x,mfe_capture_ratio,old_net_return_1x,old_net_return_2x,new_minus_old_2x,right_censored_mark,coverage_ratio,decision_count
52-ZBT-2026-06-13,v2,ZBT,第二批20币,2026-06-13,2026-06-14,0.11534,0.0010307142857142865,0.1061128,2026-06-20T19:00:00+00:00,0.117975,2,V2弱趋势分层回撤,0.02284550026010046,0.01876228469020008,0.03752456938040016,-0.0413559909831801,0.208080457777007,0.208080457777007,0.10979166666666618,-0.006841700680483992,-0.013683401360967984,0.051207970741368146,False,1.0,2
53-SIREN-2026-06-15,v2,SIREN,样本内,2026-06-15,2026-06-16,0.0528,0.003497142857142857,0.04405714285714286,2026-06-16T10:30:00+00:00,0.047175,2,V2弱趋势分层回撤,-0.10653409090909083,-0.11010082108510247,-0.22020164217020494,-0.1647727272727273,0.11742424242424243,0.11742424242424243,-0.9072580645161283,-0.130379392729692,-0.260758785459384,0.04055714328917909,False,1.0,2
54-AIA-2026-06-13,v2,AIA,第二批20币,2026-06-13,2026-06-14,0.06066,0.001432857142857144,0.0558072,2026-06-16T02:35:00+00:00,0.05574,1,保护止损,-0.0811078140454995,-0.08477604632475899,-0.16955209264951798,-0.09182327728321793,0.053082756346851445,0.053082756346851445,-1.5279503105590018,-0.10431527317932551,-0.20863054635865103,0.03907845370913304,False,1.0,1
55-BIRB-2026-06-20,v2,BIRB,样本内,2026-06-20,2026-06-21,0.07169,0.00047214285714285647,0.06595480000000001,2026-06-23T06:25:00+00:00,0.06521,1,保护止损,-0.09038917561724091,-0.09402035655290064,-0.18804071310580128,-0.09792160691867757,0.017017715162505276,0.5235039754498534,-0.1726618705035972,-0.1437582360735359,-0.2875164721470718,0.09947575904127054,False,1.0,1
56-GWEI-2026-06-23,v2,GWEI,新增样本外,2026-06-23,2026-06-24,0.1192,0.0008857142857142902,0.109664,2026-07-01T01:20:00+00:00,0.1864,3,保护止损,0.563758389261745,0.5575158408016181,1.1150316816032362,-0.03271812080536918,1.0973154362416109,1.0973154362416109,0.5137614678899083,0.06285415745689832,0.12570831491379664,0.9893233666894395,False,1.0,3
57-ZBT-2026-06-23,v2,ZBT,第二批20币,2026-06-23,2026-06-24,0.1071,0.0005985714285714285,0.098532,2026-07-02T05:05:00+00:00,0.13448,1,V2弱趋势分层回撤,0.2556489262371615,0.2506363556733404,0.5012727113466808,-0.08216619981325868,0.4799253034547153,0.4799253034547153,0.5326848249027236,0.12620510612761407,0.25241021225522814,0.2488624990914527,False,1.0,1
58-KGEN-2026-06-30,v2,KGEN,第二批20币,2026-06-30,2026-07-01,0.1961,0.0023757142857142844,0.180412,2026-07-01T11:40:00+00:00,0.1795,1,保护止损,-0.08465068842427337,-0.08830477749243992,-0.17660955498487985,-0.09484956654767973,0.018867924528301883,0.018867924528301883,-4.4864864864864895,-0.10557365635887835,-0.2111473127177567,0.034537757732876845,False,1.0,1
59-COLLECT-2026-07-01,v2,COLLECT,第二批20币,2026-07-01,2026-07-02,0.03803,0.000307857142857143,0.0349876,2026-07-16T00:00:00+00:00,0.04302,1,持有满14天,0.13121220089403107,0.1266963837247932,0.2533927674495864,-0.026820930844070445,0.21903760189324206,0.21903760189324206,0.599039615846339,0.06672114619039596,0.13344229238079192,0.11995047506879447,False,1.0,1
60-BIRB-2026-07-03,v2,BIRB,样本内,2026-07-03,2026-07-04,0.07794,0.0014178571428571424,0.0717048,2026-07-04T04:55:00+00:00,0.0714,1,保护止损,-0.08391070053887595,-0.08756774365049713,-0.17513548730099426,-0.09417500641519116,0.011419040287400595,0.16217603284577886,-0.5174050632911383,-0.18558392581017083,-0.37116785162034166,0.1960323643193474,False,1.0,1
61-ESPORTS-2026-07-09,v2,ESPORTS,样本外,2026-07-09,2026-07-10,0.02142,0.0004892857142857139,0.019706400000000002,2026-07-10T00:45:00+00:00,0.01926,1,保护止损,-0.10084033613445387,-0.1044297958704441,-0.2088595917408882,-0.10737628384687203,0.028478057889822495,1.448646125116713,-0.06961005478569134,-0.2039375963292836,-0.4078751926585672,0.199015600917679,False,1.0,1
62-GUA-2026-07-09,v2,GUA,第二批20币,2026-07-09,2026-07-10,0.05685,0.0005849999999999982,0.052302,2026-07-11T02:45:00+00:00,0.05214,1,保护止损,-0.0828496042216359,-0.0865108832466992,-0.1730217664933984,-0.09498680738786269,0.05171503957783652,0.1243623570800354,-0.6661951909476651,-0.15308661480908006,-0.3061732296181601,0.13315146312476173,False,1.0,1
63-AIA-2026-07-08,v2,AIA,第二批20币,2026-07-08,2026-07-09,0.05319,0.00022214285714285725,0.0489348,2026-07-23T00:00:00+00:00,0.06431,1,持有满14天,0.20906185373190467,0.20423525950542998,0.40847051901085996,-0.04098514758413241,0.2953562699755594,0.2953562699755594,0.7078294080203695,0.021287374489599404,0.04257474897919881,0.3658957700316611,False,1.0,1
64-ZBT-2026-07-14,v2,ZBT,第二批20币,2026-07-14,2026-07-15,0.10821,0.001279285714285713,0.0995532,2026-07-15T02:35:00+00:00,0.09933,1,保护止损,-0.0820626559467702,-0.0857270764819128,-0.1714541529638256,-0.0839109139635894,0.003604103132797354,0.12799186766472603,-0.6411552346570398,-0.1713279844524979,-0.3426559689049958,0.17120181594117018,False,1.0,1
