symbol,interval,activation_mfe,trailing_drawdown,triggered,decision_time_utc,execution_time_utc,execution_price,gross_return,net_return,running_mfe_at_signal,close_drawdown_at_signal,volume_vs_prior20_median,upper_wick_share
VELVET,15m,2.0,0.15,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
VELVET,15m,2.0,0.2,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
VELVET,15m,2.0,0.25,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
VELVET,15m,2.0,0.3,True,2026-06-10T19:30+00:00,2026-06-10T19:45+00:00,0.66687,2.6060671605472336,2.5916716828604187,4.324176715513978,-0.321887060735324,2.445067191455655,0.2359244106760179
VELVET,15m,3.0,0.02,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
VELVET,15m,3.0,0.03,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
VELVET,15m,3.0,0.05,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
VELVET,15m,3.0,0.08,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
VELVET,15m,3.0,0.1,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
VELVET,15m,3.0,0.12,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
VELVET,15m,3.0,0.15,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
VELVET,15m,3.0,0.2,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
VELVET,15m,3.0,0.25,True,2026-06-10T19:15+00:00,2026-06-10T19:30+00:00,0.71177,2.84886173146596,2.833497013975078,4.324176715513978,-0.27808247003859443,5.485889650578596,0.6804174950298212
VELVET,15m,3.0,0.3,True,2026-06-10T19:30+00:00,2026-06-10T19:45+00:00,0.66687,2.6060671605472336,2.5916716828604187,4.324176715513978,-0.321887060735324,2.445067191455655,0.2359244106760179
