group,factor,factor_name,variant,factor_key,target,target_name,horizon_days,mean_rank_ic,median_rank_ic,ic_std,newey_west_tstat,positive_ic_rate,valid_ic_days,eligible_dates,valid_day_ratio,observations
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,max_gain,窗口最大涨幅,14,-0.034931,-0.056980,0.290786,-1.021061,0.391026,156,196,0.795918,1987
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,max_gain,窗口最大涨幅,30,0.005984,0.000000,0.275314,0.197992,0.432624,141,180,0.783333,1792
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,mean_close_deviation,窗口平均收盘偏离,1,-0.027978,0.000000,0.315884,-1.154853,0.396450,169,209,0.808612,2156
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,mean_close_deviation,窗口平均收盘偏离,3,-0.055234,-0.077152,0.316945,-1.895953,0.401198,167,207,0.806763,2130
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,mean_close_deviation,窗口平均收盘偏离,5,-0.072995,-0.077152,0.306777,-2.521565,0.381818,165,205,0.804878,2104
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,mean_close_deviation,窗口平均收盘偏离,7,-0.092114,-0.097590,0.302758,-3.016095,0.374233,163,203,0.802956,2078
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,mean_close_deviation,窗口平均收盘偏离,14,-0.104148,-0.105775,0.299223,-2.859696,0.352564,156,196,0.795918,1987
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,mean_close_deviation,窗口平均收盘偏离,30,-0.042552,0.000000,0.310137,-0.767206,0.482270,141,180,0.783333,1792
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,volume_price_confirmation,同日量价确认,1,-0.017276,-0.143880,0.321522,-0.677567,0.354430,158,209,0.755981,2019
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,volume_price_confirmation,同日量价确认,3,-0.051351,-0.125428,0.287155,-2.091350,0.367470,166,207,0.801932,2119
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,volume_price_confirmation,同日量价确认,5,-0.078031,-0.156517,0.284212,-2.844526,0.381818,165,205,0.804878,2104
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,volume_price_confirmation,同日量价确认,7,-0.101495,-0.171176,0.288666,-3.175760,0.325153,163,203,0.802956,2078
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,volume_price_confirmation,同日量价确认,14,-0.137136,-0.189096,0.311502,-2.998613,0.275641,156,196,0.795918,1987
F1–F6,F4,F4 新地址扩张,异常触发,f4_trigger,volume_price_confirmation,同日量价确认,30,-0.090389,-0.085701,0.340877,-1.258434,0.382979,141,180,0.783333,1792
F1–F6,F5,F5 巨额转账,连续值,f5_value,max_gain,窗口最大涨幅,1,0.040873,0.038462,0.274271,2.159566,0.540670,209,209,1.000000,2656
